product_id,name,category,description,lost_description,price,image_url,image_path,source
PROD_001,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",mens clothing,"Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday","I lost a backpack that's pretty versatile - it's got a padded sleeve for laptops and some extra compartments for everyday stuff, and it's got a cool design that's supposed to be for hiking or walking in the woods.",109.95,https://fakestoreapi.com/img/81fPKd-2AYL._AC_SL1500_t.png,images/PROD_001.jpg,fakestoreapi
PROD_002,Mens Casual Premium Slim Fit T-Shirts ,mens clothing,"Slim-fitting style, contrast raglan long sleeve, three-button henley placket, light weight & soft fabric for breathable and comfortable wearing. And Solid stitched shirts with round neck made for durability and a great fit for casual fashion wear and diehard baseball fans. The Henley style round neckline includes a three-button placket.","I lost a slim-fitting t-shirt, it's got a contrast raglan long sleeve and a three-button henley placket, it's made of a lightweight and soft fabric that's really comfortable to wear. It's got a round neck and solid stitching, and it's a pretty standard-looking shirt - not too fancy, but it's a great fit.",22.3,https://fakestoreapi.com/img/71-3HjGNDUL._AC_SY879._SX._UX._SY._UY_t.png,images/PROD_002.jpg,fakestoreapi
PROD_003,Mens Cotton Jacket,mens clothing,"great outerwear jackets for Spring/Autumn/Winter, suitable for many occasions, such as working, hiking, camping, mountain/rock climbing, cycling, traveling or other outdoors. Good gift choice for you or your family member. A warm hearted love to Father, husband or son in this thanksgiving or Christmas Day.","I lost a pretty standard cotton jacket, it's a pretty versatile outerwear piece that I've had for a while, it's just your basic, all-around jacket for casual, everyday stuff.",55.99,https://fakestoreapi.com/img/71li-ujtlUL._AC_UX679_t.png,images/PROD_003.jpg,fakestoreapi
PROD_004,Mens Casual Slim Fit,mens clothing,"The color could be slightly different between on the screen and in practice. / Please note that body builds vary by person, therefore, detailed size information should be reviewed below on the product description.","I lost a slim fit shirt, it's pretty casual and versatile, I'd say it's a lighter blue color that's maybe a bit darker in certain lighting conditions. The fit is supposed to be slim, but I'm not super sure about the size since everyone's body shape is different.",15.99,https://fakestoreapi.com/img/71YXzeOuslL._AC_UY879_t.png,images/PROD_004.jpg,fakestoreapi
PROD_005,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,"From our Legends Collection, the Naga was inspired by the mythical water dragon that protects the ocean's pearl. Wear facing inward to be bestowed with love and abundance, or outward for protection.","I lost a chain bracelet from the John Hardy Women's Legends collection, it's got a gold and silver dragon design on it - I'm not really sure what the specific details are, it's just this really cool looking dragon, and it was on my wrist when I was walking across campus.",695.0,https://fakestoreapi.com/img/71pWzhdJNwL._AC_UL640_QL65_ML3_t.png,images/PROD_005.jpg,fakestoreapi
PROD_006,Solid Gold Petite Micropave ,jewelery,Satisfaction Guaranteed. Return or exchange any order within 30 days.Designed and sold by Hafeez Center in the United States. Satisfaction Guaranteed. Return or exchange any order within 30 days.,"I lost a small gold necklace with a bunch of tiny sparkly stones all over it, it's pretty and I really liked it.",168.0,https://fakestoreapi.com/img/61sbMiUnoGL._AC_UL640_QL65_ML3_t.png,images/PROD_006.jpg,fakestoreapi
PROD_007,White Gold Plated Princess,jewelery,"Classic Created Wedding Engagement Solitaire Diamond Promise Ring for Her. Gifts to spoil your love more for Engagement, Wedding, Anniversary, Valentine's Day...","I lost a white gold plated diamond ring with a small diamond solitaire in the center, it's a pretty classic and simple design, and I'm pretty sure I had it on when I was walking across campus yesterday.",9.99,https://fakestoreapi.com/img/71YAIFU48IL._AC_UL640_QL65_ML3_t.png,images/PROD_007.jpg,fakestoreapi
PROD_008,Pierced Owl Rose Gold Plated Stainless Steel Double,jewelery,Rose Gold Plated Double Flared Tunnel Plug Earrings. Made of 316L Stainless Steel,"I lost a pair of earring studs that have a rose gold plating on them, they're double flared and have this owl design on them, and they're made of a metal that feels really sturdy.",10.99,https://fakestoreapi.com/img/51UDEzMJVpL._AC_UL640_QL65_ML3_t.png,images/PROD_008.jpg,fakestoreapi
PROD_009,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,electronics,"USB 3.0 and USB 2.0 Compatibility Fast data transfers Improve PC Performance High Capacity; Compatibility Formatted NTFS for Windows 10, Windows 8.1, Windows 7; Reformatting may be required for other operating systems; Compatibility may vary depending on user’s hardware configuration and operating system","I lost a portable hard drive that I use to back up my computer files, it's a small external drive with a USB connection and I think it's around 2TB in size, I'm not sure exactly what kind it is but it's definitely a brand I've used before. It's got a bunch of technical specs on the box, but basically it's a hard drive that I use to transfer files between my computer and my other devices.",64.0,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_t.png,images/PROD_009.jpg,fakestoreapi
PROD_010,SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s,electronics,"Easy upgrade for faster boot up, shutdown, application load and response (As compared to 5400 RPM SATA 2.5” hard drive; Based on published specifications and internal benchmarking tests using PCMark vantage scores) Boosts burst write performance, making it ideal for typical PC workloads The perfect balance of performance and reliability Read/write speeds of up to 535MB/s/450MB/s (Based on internal testing; Performance may vary depending upon drive capacity, host device, OS and application.)","I lost a laptop drive thingy - it's a solid-state thing that's supposed to make my computer boot up faster or something, and it's got a lot of storage on it. It was in a black case and had a bunch of technical specs on it, but I don't remember seeing the exact model number.",109.0,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_t.png,images/PROD_010.jpg,fakestoreapi
