product_id,name,category,description,lost_description,price,image_url,image_path,source,item_id,search_text,price_bucket
PROD_001,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",clothing,"Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday","I lost a backpack that's pretty versatile - it's got a padded sleeve for laptops and some extra compartments for everyday stuff, and it's got a cool design that's supposed to be for hiking or walking in the woods.",109.95,https://fakestoreapi.com/img/81fPKd-2AYL._AC_SL1500_t.png,images/PROD_001.jpg,fakestoreapi,ITEM_0001,"fjallraven - foldsack no. 1 backpack, fits 15 laptops clothing your perfect pack for everyday use and walks in the forest. stash your laptop (up to 15 inches) in the padded sleeve, your everyday i lost a backpack that's pretty versatile - it's got a padded sleeve for laptops and some extra compartments for everyday stuff, and it's got a cool design that's supposed to be for hiking or walking in the woods.",premium
PROD_002,Mens Casual Premium Slim Fit T-Shirts,clothing,"Slim-fitting style, contrast raglan long sleeve, three-button henley placket, light weight & soft fabric for breathable and comfortable wearing. And Solid stitched shirts with round neck made for durability and a great fit for casual fashion wear and diehard baseball fans. The Henley style round neckline includes a three-button placket.","I lost a slim-fitting t-shirt, it's got a contrast raglan long sleeve and a three-button henley placket, it's made of a lightweight and soft fabric that's really comfortable to wear. It's got a round neck and solid stitching, and it's a pretty standard-looking shirt - not too fancy, but it's a great fit.",22.3,https://fakestoreapi.com/img/71-3HjGNDUL._AC_SY879._SX._UX._SY._UY_t.png,images/PROD_002.jpg,fakestoreapi,ITEM_0002,"mens casual premium slim fit t-shirts clothing slim-fitting style, contrast raglan long sleeve, three-button henley placket, light weight & soft fabric for breathable and comfortable wearing. and solid stitched shirts with round neck made for durability and a great fit for casual fashion wear and diehard baseball fans. the henley style round neckline includes a three-button placket. i lost a slim-fitting t-shirt, it's got a contrast raglan long sleeve and a three-button henley placket, it's made of a lightweight and soft fabric that's really comfortable to wear. it's got a round neck and solid stitching, and it's a pretty standard-looking shirt - not too fancy, but it's a great fit.",mid-range
PROD_003,Mens Cotton Jacket,clothing,"great outerwear jackets for Spring/Autumn/Winter, suitable for many occasions, such as working, hiking, camping, mountain/rock climbing, cycling, traveling or other outdoors. Good gift choice for you or your family member. A warm hearted love to Father, husband or son in this thanksgiving or Christmas Day.","I lost a pretty standard cotton jacket, it's a pretty versatile outerwear piece that I've had for a while, it's just your basic, all-around jacket for casual, everyday stuff.",55.99,https://fakestoreapi.com/img/71li-ujtlUL._AC_UX679_t.png,images/PROD_003.jpg,fakestoreapi,ITEM_0003,"mens cotton jacket clothing great outerwear jackets for spring/autumn/winter, suitable for many occasions, such as working, hiking, camping, mountain/rock climbing, cycling, traveling or other outdoors. good gift choice for you or your family member. a warm hearted love to father, husband or son in this thanksgiving or christmas day. i lost a pretty standard cotton jacket, it's a pretty versatile outerwear piece that i've had for a while, it's just your basic, all-around jacket for casual, everyday stuff.",mid-range
PROD_004,Mens Casual Slim Fit,clothing,"The color could be slightly different between on the screen and in practice. / Please note that body builds vary by person, therefore, detailed size information should be reviewed below on the product description.","I lost a slim fit shirt, it's pretty casual and versatile, I'd say it's a lighter blue color that's maybe a bit darker in certain lighting conditions. The fit is supposed to be slim, but I'm not super sure about the size since everyone's body shape is different.",15.99,https://fakestoreapi.com/img/71YXzeOuslL._AC_UY879_t.png,images/PROD_004.jpg,fakestoreapi,ITEM_0004,"mens casual slim fit clothing the color could be slightly different between on the screen and in practice. / please note that body builds vary by person, therefore, detailed size information should be reviewed below on the product description. i lost a slim fit shirt, it's pretty casual and versatile, i'd say it's a lighter blue color that's maybe a bit darker in certain lighting conditions. the fit is supposed to be slim, but i'm not super sure about the size since everyone's body shape is different.",budget
PROD_005,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelry,"From our Legends Collection, the Naga was inspired by the mythical water dragon that protects the ocean's pearl. Wear facing inward to be bestowed with love and abundance, or outward for protection.","I lost a chain bracelet from the John Hardy Women's Legends collection, it's got a gold and silver dragon design on it - I'm not really sure what the specific details are, it's just this really cool looking dragon, and it was on my wrist when I was walking across campus.",695.0,https://fakestoreapi.com/img/71pWzhdJNwL._AC_UL640_QL65_ML3_t.png,images/PROD_005.jpg,fakestoreapi,ITEM_0005,"john hardy women's legends naga gold & silver dragon station chain bracelet jewelry from our legends collection, the naga was inspired by the mythical water dragon that protects the ocean's pearl. wear facing inward to be bestowed with love and abundance, or outward for protection. i lost a chain bracelet from the john hardy women's legends collection, it's got a gold and silver dragon design on it - i'm not really sure what the specific details are, it's just this really cool looking dragon, and it was on my wrist when i was walking across campus.",luxury
PROD_006,Solid Gold Petite Micropave,jewelry,Satisfaction Guaranteed. Return or exchange any order within 30 days.Designed and sold by Hafeez Center in the United States. Satisfaction Guaranteed. Return or exchange any order within 30 days.,"I lost a small gold necklace with a bunch of tiny sparkly stones all over it, it's pretty and I really liked it.",168.0,https://fakestoreapi.com/img/61sbMiUnoGL._AC_UL640_QL65_ML3_t.png,images/PROD_006.jpg,fakestoreapi,ITEM_0006,"solid gold petite micropave jewelry satisfaction guaranteed. return or exchange any order within 30 days.designed and sold by hafeez center in the united states. satisfaction guaranteed. return or exchange any order within 30 days. i lost a small gold necklace with a bunch of tiny sparkly stones all over it, it's pretty and i really liked it.",premium
PROD_007,White Gold Plated Princess,jewelry,"Classic Created Wedding Engagement Solitaire Diamond Promise Ring for Her. Gifts to spoil your love more for Engagement, Wedding, Anniversary, Valentine's Day...","I lost a white gold plated diamond ring with a small diamond solitaire in the center, it's a pretty classic and simple design, and I'm pretty sure I had it on when I was walking across campus yesterday.",9.99,https://fakestoreapi.com/img/71YAIFU48IL._AC_UL640_QL65_ML3_t.png,images/PROD_007.jpg,fakestoreapi,ITEM_0007,"white gold plated princess jewelry classic created wedding engagement solitaire diamond promise ring for her. gifts to spoil your love more for engagement, wedding, anniversary, valentine's day... i lost a white gold plated diamond ring with a small diamond solitaire in the center, it's a pretty classic and simple design, and i'm pretty sure i had it on when i was walking across campus yesterday.",budget
PROD_008,Pierced Owl Rose Gold Plated Stainless Steel Double,jewelry,Rose Gold Plated Double Flared Tunnel Plug Earrings. Made of 316L Stainless Steel,"I lost a pair of earring studs that have a rose gold plating on them, they're double flared and have this owl design on them, and they're made of a metal that feels really sturdy.",10.99,https://fakestoreapi.com/img/51UDEzMJVpL._AC_UL640_QL65_ML3_t.png,images/PROD_008.jpg,fakestoreapi,ITEM_0008,"pierced owl rose gold plated stainless steel double jewelry rose gold plated double flared tunnel plug earrings. made of 316l stainless steel i lost a pair of earring studs that have a rose gold plating on them, they're double flared and have this owl design on them, and they're made of a metal that feels really sturdy.",budget
PROD_009,WD 2TB Elements Portable External Hard Drive - USB 3.0,electronics,"USB 3.0 and USB 2.0 Compatibility Fast data transfers Improve PC Performance High Capacity; Compatibility Formatted NTFS for Windows 10, Windows 8.1, Windows 7; Reformatting may be required for other operating systems; Compatibility may vary depending on user’s hardware configuration and operating system","I lost a portable hard drive that I use to back up my computer files, it's a small external drive with a USB connection and I think it's around 2TB in size, I'm not sure exactly what kind it is but it's definitely a brand I've used before. It's got a bunch of technical specs on the box, but basically it's a hard drive that I use to transfer files between my computer and my other devices.",64.0,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_t.png,images/PROD_009.jpg,fakestoreapi,ITEM_0009,"wd 2tb elements portable external hard drive - usb 3.0 electronics usb 3.0 and usb 2.0 compatibility fast data transfers improve pc performance high capacity; compatibility formatted ntfs for windows 10, windows 8.1, windows 7; reformatting may be required for other operating systems; compatibility may vary depending on user’s hardware configuration and operating system i lost a portable hard drive that i use to back up my computer files, it's a small external drive with a usb connection and i think it's around 2tb in size, i'm not sure exactly what kind it is but it's definitely a brand i've used before. it's got a bunch of technical specs on the box, but basically it's a hard drive that i use to transfer files between my computer and my other devices.",mid-range
PROD_010,SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s,electronics,"Easy upgrade for faster boot up, shutdown, application load and response (As compared to 5400 RPM SATA 2.5” hard drive; Based on published specifications and internal benchmarking tests using PCMark vantage scores) Boosts burst write performance, making it ideal for typical PC workloads The perfect balance of performance and reliability Read/write speeds of up to 535MB/s/450MB/s (Based on internal testing; Performance may vary depending upon drive capacity, host device, OS and application.)","I lost a laptop drive thingy - it's a solid-state thing that's supposed to make my computer boot up faster or something, and it's got a lot of storage on it. It was in a black case and had a bunch of technical specs on it, but I don't remember seeing the exact model number.",109.0,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_t.png,images/PROD_010.jpg,fakestoreapi,ITEM_0010,"sandisk ssd plus 1tb internal ssd - sata iii 6 gb/s electronics easy upgrade for faster boot up, shutdown, application load and response (as compared to 5400 rpm sata 2.5” hard drive; based on published specifications and internal benchmarking tests using pcmark vantage scores) boosts burst write performance, making it ideal for typical pc workloads the perfect balance of performance and reliability read/write speeds of up to 535mb/s/450mb/s (based on internal testing; performance may vary depending upon drive capacity, host device, os and application.) i lost a laptop drive thingy - it's a solid-state thing that's supposed to make my computer boot up faster or something, and it's got a lot of storage on it. it was in a black case and had a bunch of technical specs on it, but i don't remember seeing the exact model number.",premium
